Date,NewCases,PcrTest
29-Jan,157,3221
30-Jan,109,3618
31-Jan,105,3308
1-Feb,159,4145
2-Feb,171,2946
3-Feb,142,3597
4-Feb,171,3878
5-Feb,105,2799
6-Feb,99,2794
7-Feb,119,2551
8-Feb,130,3333
9-Feb,160,4309
10-Feb,134,3567
11-Feb,81,3023
12-Feb,127,4000
13-Feb,57,1900
14-Feb,104,3501
15-Feb,122,3541
16-Feb,105,3360
17-Feb,125,3838
18-Feb,96,3541
19-Feb,97,2931
20-Feb,88,2048
21-Feb,80,3325
22-Feb,125,3681
23-Feb,110,3218
24-Feb,94,3692
25-Feb,112,3411
26-Feb,112,3944
27-Feb,81,2824
28-Feb,78,2532
1-Mar,73,3049
2-Mar,78,4127
3-Mar,87,3399
4-Mar,107,5536
5-Mar,120,6143
6-Mar,47,3535
7-Mar,66,4111
8-Mar,89,4399
9-Mar,59,2715
10-Mar,104,3488
11-Mar,97,4484
12-Mar,48,2512
13-Mar,60,2362
14-Mar,53,2615
15-Mar,79,3311
16-Mar,114,2790
17-Mar,94,2781
18-Mar,107,3254
19-Mar,125,3161
20-Mar,79,2637
21-Mar,77,3181
22-Mar,150,4472
23-Mar,188,4032
24-Mar,145,3963
25-Mar,120,2891
26-Mar,156,4416
27-Mar,85,2745
28-Mar,89,2101
29-Mar,141,3122
30-Mar,167,3140
31-Mar,162,3919
1-Apr,152,4213
2-Apr,179,3565
3-Apr,128,2727
4-Apr,176,3456
5-Apr,266,4536
6-Apr,260,4243
7-Apr,298,4100
8-Apr,332,4006
9-Apr,288,4071
10-Apr,337,3532
11-Apr,303,3125
12-Apr,496,5105
13-Apr,460,5203
14-Apr,580,4740
15-Apr,490,4152
16-Apr,836,6158
17-Apr,768,6004
18-Apr,1015,5783
19-Apr,1227,7554
20-Apr,1667,8738
21-Apr,2220,9647
22-Apr,2428,10448
23-Apr,2449,9664
24-Apr,2618,8668
25-Apr,3122,10078
26-Apr,3556,13293
27-Apr,4524,15681
28-Apr,4897,14834
29-Apr,4928,13560
30-Apr,5727,15916
1-May,5763,14969
2-May,7211,16770
